evolving elements: 1602
evolving elements: 1629
evolving elements: 1588
evolving elements: 1624
evolving elements: 1662
evolving elements: 1619
evolving elements: 1624
evolving elements: 1631
evolving elements: 1729
evolving elements: 1656
evolving elements: 1555
evolving elements: 1638
evolving elements: 1617
evolving elements: 1673
evolving elements: 1636
evolving elements: 1646
evolving elements: 1345
evolving elements: 1702
evolving elements: 1660
evolving elements: 1571
evolving elements: 1547
evolving elements: 1621
evolving elements: 1565
evolving elements: 1597
evolving elements: 1616
evolving elements: 1485
Time = 2017-08-25 00:00:00, steps=0 (0s)
evolving elements: 1584
evolving elements: 1545
evolving elements: 1557
evolving elements: 1594
Time = 2017-08-25 02:30:00, delta t = 440.09034640, steps=1 (0s)
Time = 2017-08-25 02:32:00, delta t = 442.73800916, steps=1 (0s)
Time = 2017-08-25 02:34:00, delta t = 446.30430685, steps=1 (0s)
Time = 2017-08-25 02:36:00, delta t = 449.00930419, steps=1 (0s)
Time = 2017-08-25 02:38:00, delta t = 452.56735392, steps=1 (0s)
Time = 2017-08-25 02:40:00, delta t = 455.32547185, steps=1 (0s)
Time = 2017-08-25 02:42:00, delta t = 458.87768860, steps=1 (0s)
Time = 2017-08-25 02:44:00, delta t = 461.68498897, steps=1 (0s)
Time = 2017-08-25 02:46:00, delta t = 465.23315074, steps=1 (0s)
Time = 2017-08-25 02:48:00, delta t = 468.08598994, steps=1 (0s)
Time = 2017-08-25 02:50:00, delta t = 471.63141837, steps=1 (0s)
Time = 2017-08-25 02:52:00, delta t = 474.52644744, steps=1 (0s)
Time = 2017-08-25 02:54:00, delta t = 478.07013479, steps=1 (0s)
Time = 2017-08-25 02:56:00, delta t = 481.00428842, steps=1 (0s)
Time = 2017-08-25 02:58:00, delta t = 484.54698723, steps=1 (0s)
Time = 2017-08-25 03:00:00, delta t = 487.52222798, steps=1 (0s)
Time = 2017-08-25 03:02:00, delta t = 491.19557652, steps=1 (0s)
Time = 2017-08-25 03:04:00, delta t = 494.32293305, steps=1 (0s)
Time = 2017-08-25 03:06:00, delta t = 497.97001235, steps=1 (0s)
Time = 2017-08-25 03:08:00, delta t = 501.10520499, steps=1 (0s)
Time = 2017-08-25 03:10:00, delta t = 504.73312253, steps=1 (0s)
Time = 2017-08-25 03:12:00, delta t = 507.87967338, steps=1 (0s)
Time = 2017-08-25 03:14:00, delta t = 511.49344499, steps=1 (0s)
Time = 2017-08-25 03:16:00, delta t = 514.65342222, steps=1 (0s)
Time = 2017-08-25 03:18:00, delta t = 518.25661029, steps=1 (0s)
Time = 2017-08-25 03:20:00, delta t = 521.43112215, steps=1 (0s)
Time = 2017-08-25 03:22:00, delta t = 525.02628764, steps=1 (0s)
Time = 2017-08-25 03:24:00, delta t = 528.21581161, steps=1 (0s)
Time = 2017-08-25 03:26:00, delta t = 531.80481976, steps=1 (0s)
Time = 2017-08-25 03:28:00, delta t = 535.00942253, steps=1 (0s)
Time = 2017-08-25 03:30:00, delta t = 538.59365103, steps=1 (0s)
Time = 2017-08-25 03:32:00, delta t = 541.81313562, steps=1 (0s)
Time = 2017-08-25 03:34:00, delta t = 545.39361730, steps=1 (0s)
Time = 2017-08-25 03:36:00, delta t = 548.62762162, steps=1 (0s)
Time = 2017-08-25 03:38:00, delta t = 552.20514290, steps=1 (0s)
Time = 2017-08-25 03:40:00, delta t = 555.45320574, steps=1 (0s)
Time = 2017-08-25 03:42:00, delta t = 559.02837510, steps=1 (0s)
Time = 2017-08-25 03:44:00, delta t = 562.28998013, steps=1 (0s)
Time = 2017-08-25 03:46:00, delta t = 565.86327610, steps=1 (0s)
Time = 2017-08-25 03:48:00, delta t = 569.13788113, steps=1 (0s)
Time = 2017-08-25 03:50:00, delta t = 572.70968615, steps=1 (0s)
Time = 2017-08-25 03:52:00, delta t = 575.99674233, steps=1 (0s)
Time = 2017-08-25 03:54:00, delta t = 579.56736681, steps=1 (0s)
Time = 2017-08-25 03:56:00, delta t = 582.86633114, steps=1 (0s)
Time = 2017-08-25 03:58:00, delta t = 586.43603083, steps=1 (0s)
Time = 2017-08-25 04:00:00, delta t = 589.74637398, steps=1 (0s)
Time = 2017-08-25 04:02:00, delta t = 593.31536250, steps=1 (0s)
Time = 2017-08-25 04:04:00, delta t = 596.63657365, steps=1 (0s)
Time = 2017-08-25 04:06:00, delta t = 600.20503167, steps=1 (0s)
Time = 2017-08-25 04:08:00, delta t = 603.53662118, steps=1 (0s)
Time = 2017-08-25 04:10:00, delta t = 607.10470322, steps=1 (0s)
Time = 2017-08-25 04:12:00, delta t = 610.44620396, steps=1 (0s)
Time = 2017-08-25 04:14:00, delta t = 614.01404347, steps=1 (0s)
Time = 2017-08-25 04:16:00, delta t = 617.36501120, steps=1 (0s)
Time = 2017-08-25 04:18:00, delta t = 620.93272441, steps=1 (0s)
Time = 2017-08-25 04:20:00, delta t = 624.29273756, steps=1 (0s)
Time = 2017-08-25 04:22:00, delta t = 627.86042642, steps=1 (0s)
Time = 2017-08-25 04:24:00, delta t = 631.22908550, steps=1 (0s)
Time = 2017-08-25 04:26:00, delta t = 634.79683997, steps=1 (0s)
Time = 2017-08-25 04:28:00, delta t = 638.17376672, steps=1 (0s)
Time = 2017-08-25 04:30:00, delta t = 641.74166654, steps=1 (0s)
Time = 2017-08-25 04:32:00, delta t = 645.12650299, steps=1 (0s)
Time = 2017-08-25 04:34:00, delta t = 648.69461916, steps=1 (0s)
Time = 2017-08-25 04:36:00, delta t = 652.08702658, steps=1 (0s)
Time = 2017-08-25 04:38:00, delta t = 655.65542248, steps=1 (0s)
Time = 2017-08-25 04:40:00, delta t = 659.05508037, steps=1 (0s)
Time = 2017-08-25 04:42:00, delta t = 662.62381270, steps=1 (0s)
Time = 2017-08-25 04:44:00, delta t = 666.03041773, steps=1 (0s)
Time = 2017-08-25 04:46:00, delta t = 669.59953731, steps=1 (0s)
Time = 2017-08-25 04:48:00, delta t = 673.01280232, steps=1 (0s)
Time = 2017-08-25 04:50:00, delta t = 676.58235471, steps=1 (0s)
Time = 2017-08-25 04:52:00, delta t = 680.00200777, steps=1 (0s)
Time = 2017-08-25 04:54:00, delta t = 683.57203387, steps=1 (0s)
Time = 2017-08-25 04:56:00, delta t = 686.99781731, steps=1 (0s)
Time = 2017-08-25 04:58:00, delta t = 690.56835379, steps=1 (0s)
Time = 2017-08-25 05:00:00, delta t = 694.00002341, steps=1 (0s)
Time = 2017-08-25 05:02:00, delta t = 697.57110316, steps=1 (0s)
Time = 2017-08-25 05:04:00, delta t = 701.00842733, steps=1 (0s)
Time = 2017-08-25 05:06:00, delta t = 704.58007980, steps=1 (0s)
Time = 2017-08-25 05:08:00, delta t = 708.02283879, steps=1 (0s)
Time = 2017-08-25 05:10:00, delta t = 711.59509028, steps=1 (0s)
Time = 2017-08-25 05:12:00, delta t = 715.04307547, steps=1 (0s)
Time = 2017-08-25 05:14:00, delta t = 718.61594945, steps=1 (0s)
Time = 2017-08-25 05:16:00, delta t = 722.06896272, steps=1 (0s)
Time = 2017-08-25 05:18:00, delta t = 725.64248005, steps=1 (0s)
Time = 2017-08-25 05:20:00, delta t = 729.10033309, steps=1 (0s)
Time = 2017-08-25 05:22:00, delta t = 732.67451225, steps=1 (0s)
Time = 2017-08-25 05:24:00, delta t = 736.13702605, steps=1 (0s)
Time = 2017-08-25 05:26:00, delta t = 739.71188335, steps=1 (0s)
Time = 2017-08-25 05:28:00, delta t = 743.17888760, steps=1 (0s)
Time = 2017-08-25 05:30:00, delta t = 746.75443734, steps=1 (0s)
Time = 2017-08-25 05:32:00, delta t = 750.22576998, steps=1 (0s)
Time = 2017-08-25 05:34:00, delta t = 753.80202461, steps=1 (0s)
Time = 2017-08-25 05:36:00, delta t = 757.27753126, steps=1 (0s)
Time = 2017-08-25 05:38:00, delta t = 760.85450158, steps=1 (0s)
Time = 2017-08-25 05:40:00, delta t = 764.33403521, steps=1 (0s)
Time = 2017-08-25 05:42:00, delta t = 767.91173045, steps=1 (0s)
Time = 2017-08-25 05:44:00, delta t = 771.39515090, steps=1 (0s)
Time = 2017-08-25 05:46:00, delta t = 774.97357885, steps=1 (0s)
Time = 2017-08-25 05:48:00, delta t = 778.46075245, steps=1 (0s)
Time = 2017-08-25 05:50:00, delta t = 782.03991961, steps=1 (0s)
Time = 2017-08-25 05:52:00, delta t = 785.53071884, steps=1 (0s)
Time = 2017-08-25 05:54:00, delta t = 789.11063050, steps=1 (0s)
Time = 2017-08-25 05:56:00, delta t = 792.60493361, steps=1 (0s)
Time = 2017-08-25 05:58:00, delta t = 796.18559393, steps=1 (0s)
Time = 2017-08-25 06:00:00, delta t = 799.68328467, steps=1 (0s)
Time = 2017-08-25 06:02:00, delta t = 803.26469680, steps=1 (0s)
Time = 2017-08-25 06:04:00, delta t = 806.76566413, steps=1 (0s)
Time = 2017-08-25 06:06:00, delta t = 810.34783028, steps=1 (0s)
Time = 2017-08-25 06:08:00, delta t = 813.85196801, steps=1 (0s)
Time = 2017-08-25 06:10:00, delta t = 817.43488953, steps=1 (0s)
Time = 2017-08-25 06:12:00, delta t = 820.94209617, steps=1 (0s)
Time = 2017-08-25 06:14:00, delta t = 824.52577362, steps=1 (0s)
Time = 2017-08-25 06:16:00, delta t = 828.03595202, steps=1 (0s)
Time = 2017-08-25 06:18:00, delta t = 831.62038522, steps=1 (0s)
Time = 2017-08-25 06:20:00, delta t = 835.13344244, steps=1 (0s)
Time = 2017-08-25 06:22:00, delta t = 838.71863054, steps=1 (0s)
Time = 2017-08-25 06:24:00, delta t = 842.23447758, steps=1 (0s)
Time = 2017-08-25 06:26:00, delta t = 845.82041910, steps=1 (0s)
Time = 2017-08-25 06:28:00, delta t = 849.33897072, steps=1 (0s)
Time = 2017-08-25 06:30:00, delta t = 852.92566366, steps=1 (0s)
Time = 2017-08-25 06:32:00, delta t = 856.44683815, steps=1 (0s)
Time = 2017-08-25 06:34:00, delta t = 860.03427997, steps=1 (0s)
Time = 2017-08-25 06:36:00, delta t = 863.55799901, steps=1 (0s)
Time = 2017-08-25 06:38:00, delta t = 867.14618668, steps=1 (0s)
Time = 2017-08-25 06:40:00, delta t = 870.67237516, steps=1 (0s)
Time = 2017-08-25 06:42:00, delta t = 874.26130525, steps=1 (0s)
Time = 2017-08-25 06:44:00, delta t = 877.78989111, steps=1 (0s)
