[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 12:00:00, steps=0 (0s)
[]
Time = 2017-08-25 14:16:00, delta t in [0.23186629, 0.23250915], steps=517 (3s)
Time = 2017-08-25 14:18:00, delta t in [0.23251013, 0.23310667], steps=516 (2s)
Time = 2017-08-25 14:20:00, delta t in [0.23310716, 0.23366335], steps=515 (2s)
Time = 2017-08-25 14:22:00, delta t in [0.23366353, 0.23419044], steps=513 (2s)
Time = 2017-08-25 14:24:00, delta t in [0.23419143, 0.23470859], steps=512 (3s)
Time = 2017-08-25 14:26:00, delta t in [0.23470948, 0.23523475], steps=511 (2s)
Time = 2017-08-25 14:28:00, delta t in [0.23523545, 0.23573823], steps=510 (2s)
Time = 2017-08-25 14:30:00, delta t in [0.23573880, 0.23621239], steps=509 (3s)
Time = 2017-08-25 14:32:00, delta t in [0.23621287, 0.23667990], steps=508 (2s)
Time = 2017-08-25 14:34:00, delta t in [0.23668037, 0.23712681], steps=507 (3s)
Time = 2017-08-25 14:36:00, delta t in [0.23712728, 0.23756117], steps=506 (2s)
Time = 2017-08-25 14:38:00, delta t in [0.23756168, 0.23800158], steps=505 (2s)
Time = 2017-08-25 14:40:00, delta t in [0.23800224, 0.23850835], steps=504 (2s)
Time = 2017-08-25 14:42:00, delta t in [0.23850900, 0.23900194], steps=503 (2s)
Time = 2017-08-25 14:44:00, delta t in [0.23900252, 0.23947400], steps=502 (2s)
Time = 2017-08-25 14:46:00, delta t in [0.23947454, 0.23991759], steps=501 (2s)
Time = 2017-08-25 14:48:00, delta t in [0.23991813, 0.24034523], steps=500 (2s)
Time = 2017-08-25 14:50:00, delta t in [0.24034585, 0.24076526], steps=499 (2s)
Time = 2017-08-25 14:52:00, delta t in [0.24076597, 0.24117858], steps=498 (2s)
Time = 2017-08-25 14:54:00, delta t in [0.24117939, 0.24158658], steps=498 (2s)
Time = 2017-08-25 14:56:00, delta t in [0.24158669, 0.24198690], steps=497 (2s)
Time = 2017-08-25 14:58:00, delta t in [0.24198715, 0.24237676], steps=496 (2s)
Time = 2017-08-25 15:00:00, delta t in [0.24237714, 0.24276063], steps=495 (2s)
Time = 2017-08-25 15:02:00, delta t in [0.24276118, 0.24314350], steps=494 (2s)
Time = 2017-08-25 15:04:00, delta t in [0.24314422, 0.24352595], steps=494 (2s)
Time = 2017-08-25 15:06:00, delta t in [0.24352607, 0.24390593], steps=493 (2s)
Time = 2017-08-25 15:08:00, delta t in [0.24390622, 0.24428523], steps=492 (2s)
Time = 2017-08-25 15:10:00, delta t in [0.24428570, 0.24467064], steps=491 (2s)
Time = 2017-08-25 15:12:00, delta t in [0.24467131, 0.24506448], steps=491 (2s)
Time = 2017-08-25 15:14:00, delta t in [0.24506452, 0.24545911], steps=490 (2s)
Time = 2017-08-25 15:16:00, delta t in [0.24545933, 0.24585579], steps=489 (2s)
Time = 2017-08-25 15:18:00, delta t in [0.24585618, 0.24625834], steps=488 (2s)
Time = 2017-08-25 15:20:00, delta t in [0.24625891, 0.24666551], steps=487 (2s)
Time = 2017-08-25 15:22:00, delta t in [0.24666626, 0.24707729], steps=487 (2s)
Time = 2017-08-25 15:24:00, delta t in [0.24707736, 0.24749135], steps=486 (2s)
Time = 2017-08-25 15:26:00, delta t in [0.24749159, 0.24789467], steps=485 (2s)
Time = 2017-08-25 15:28:00, delta t in [0.24789504, 0.24828848], steps=484 (2s)
Time = 2017-08-25 15:30:00, delta t in [0.24828905, 0.24868933], steps=483 (2s)
Time = 2017-08-25 15:32:00, delta t in [0.24869010, 0.24909693], steps=483 (2s)
Time = 2017-08-25 15:34:00, delta t in [0.24909705, 0.24950938], steps=482 (2s)
Time = 2017-08-25 15:36:00, delta t in [0.24950967, 0.24992661], steps=481 (2s)
Time = 2017-08-25 15:38:00, delta t in [0.24992709, 0.25034198], steps=480 (2s)
Time = 2017-08-25 15:40:00, delta t in [0.25034261, 0.25074251], steps=479 (2s)
Time = 2017-08-25 15:42:00, delta t in [0.25074328, 0.25176439], steps=478 (2s)
Time = 2017-08-25 15:44:00, delta t in [0.25176552, 0.25217253], steps=477 (2s)
Time = 2017-08-25 15:46:00, delta t in [0.25217254, 0.25219860], steps=476 (2s)
Time = 2017-08-25 15:48:00, delta t in [0.25219865, 0.25222711], steps=476 (2s)
Time = 2017-08-25 15:50:00, delta t in [0.25222716, 0.25225882], steps=476 (2s)
Time = 2017-08-25 15:52:00, delta t in [0.25225887, 0.25229335], steps=476 (2s)
Time = 2017-08-25 15:54:00, delta t in [0.25229340, 0.25233130], steps=476 (2s)
Time = 2017-08-25 15:56:00, delta t in [0.25233135, 0.25237128], steps=476 (2s)
Time = 2017-08-25 15:58:00, delta t in [0.25237132, 0.25241346], steps=476 (2s)
Time = 2017-08-25 16:00:00, delta t in [0.25241351, 0.25245719], steps=476 (2s)
Time = 2017-08-25 16:02:00, delta t in [0.25245722, 0.25250269], steps=476 (2s)
Time = 2017-08-25 16:04:00, delta t in [0.25250272, 0.25254970], steps=476 (2s)
Time = 2017-08-25 16:06:00, delta t in [0.25254972, 0.25259175], steps=476 (2s)
Time = 2017-08-25 16:08:00, delta t in [0.25259176, 0.25263714], steps=476 (2s)
Time = 2017-08-25 16:10:00, delta t in [0.25263714, 0.25268335], steps=475 (2s)
Time = 2017-08-25 16:12:00, delta t in [0.25268344, 0.25273629], steps=475 (2s)
Time = 2017-08-25 16:14:00, delta t in [0.25273638, 0.25278694], steps=475 (2s)
Time = 2017-08-25 16:16:00, delta t in [0.25278703, 0.25283795], steps=475 (2s)
Time = 2017-08-25 16:18:00, delta t in [0.25283802, 0.25288827], steps=475 (2s)
Time = 2017-08-25 16:20:00, delta t in [0.25288833, 0.25294019], steps=475 (2s)
Time = 2017-08-25 16:22:00, delta t in [0.25294024, 0.25299281], steps=475 (2s)
Time = 2017-08-25 16:24:00, delta t in [0.25299286, 0.25304800], steps=475 (2s)
Time = 2017-08-25 16:26:00, delta t in [0.25304803, 0.25310310], steps=475 (2s)
Time = 2017-08-25 16:28:00, delta t in [0.25310312, 0.25315863], steps=475 (2s)
Time = 2017-08-25 16:30:00, delta t in [0.25315864, 0.25321500], steps=474 (2s)
Time = 2017-08-25 16:32:00, delta t in [0.25321512, 0.25327155], steps=474 (2s)
Time = 2017-08-25 16:34:00, delta t in [0.25327165, 0.25332830], steps=474 (2s)
Time = 2017-08-25 16:36:00, delta t in [0.25332839, 0.25338514], steps=474 (2s)
Time = 2017-08-25 16:38:00, delta t in [0.25338522, 0.25344221], steps=474 (2s)
Time = 2017-08-25 16:40:00, delta t in [0.25344228, 0.25349918], steps=474 (2s)
Time = 2017-08-25 16:42:00, delta t in [0.25349923, 0.25355604], steps=474 (2s)
Time = 2017-08-25 16:44:00, delta t in [0.25355607, 0.25361264], steps=474 (2s)
Time = 2017-08-25 16:46:00, delta t in [0.25335362, 0.25364224], steps=474 (2s)
Time = 2017-08-25 16:48:00, delta t in [0.25300802, 0.25335339], steps=475 (2s)
Time = 2017-08-25 16:50:00, delta t in [0.25272076, 0.25300802], steps=475 (2s)
Time = 2017-08-25 16:52:00, delta t in [0.25245264, 0.25272043], steps=476 (2s)
Time = 2017-08-25 16:54:00, delta t in [0.25220334, 0.25245259], steps=476 (2s)
