[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 00:00:00, steps=0 (0s)
[]
Time = 2017-08-25 02:16:00, delta t in [0.33253956, 0.33287783], steps=361 (1s)
Time = 2017-08-25 02:18:00, delta t in [0.33287853, 0.33327331], steps=361 (1s)
Time = 2017-08-25 02:20:00, delta t in [0.33327363, 0.33367872], steps=360 (1s)
Time = 2017-08-25 02:22:00, delta t in [0.33367967, 0.33406892], steps=360 (1s)
Time = 2017-08-25 02:24:00, delta t in [0.33406935, 0.33442594], steps=360 (1s)
Time = 2017-08-25 02:26:00, delta t in [0.33442595, 0.33474091], steps=359 (1s)
Time = 2017-08-25 02:28:00, delta t in [0.33474144, 0.33501534], steps=359 (1s)
Time = 2017-08-25 02:30:00, delta t in [0.33501557, 0.33524674], steps=359 (1s)
Time = 2017-08-25 02:32:00, delta t in [0.33524677, 0.33543655], steps=358 (1s)
Time = 2017-08-25 02:34:00, delta t in [0.33543695, 0.33558935], steps=358 (1s)
Time = 2017-08-25 02:36:00, delta t in [0.33558960, 0.33570824], steps=358 (1s)
Time = 2017-08-25 02:38:00, delta t in [0.33570838, 0.33579622], steps=358 (1s)
Time = 2017-08-25 02:40:00, delta t in [0.33579631, 0.33585894], steps=358 (1s)
Time = 2017-08-25 02:42:00, delta t in [0.33585899, 0.33589910], steps=358 (1s)
Time = 2017-08-25 02:44:00, delta t in [0.33589912, 0.33591996], steps=358 (1s)
Time = 2017-08-25 02:46:00, delta t in [0.33591997, 0.33592554], steps=358 (1s)
Time = 2017-08-25 02:48:00, delta t in [0.33591784, 0.33592548], steps=358 (1s)
Time = 2017-08-25 02:50:00, delta t in [0.33589953, 0.33591783], steps=358 (1s)
Time = 2017-08-25 02:52:00, delta t in [0.33587302, 0.33589951], steps=358 (1s)
Time = 2017-08-25 02:54:00, delta t in [0.33583964, 0.33587300], steps=358 (1s)
Time = 2017-08-25 02:56:00, delta t in [0.33580065, 0.33583961], steps=358 (1s)
Time = 2017-08-25 02:58:00, delta t in [0.33575712, 0.33580061], steps=358 (1s)
Time = 2017-08-25 03:00:00, delta t in [0.33571054, 0.33575707], steps=358 (1s)
Time = 2017-08-25 03:02:00, delta t in [0.33566160, 0.33571049], steps=358 (1s)
Time = 2017-08-25 03:04:00, delta t in [0.33561102, 0.33566153], steps=358 (1s)
