,08076500_sim,08076500_obs,08075900_sim,08075900_obs,08076000_sim,08076000_obs,08076180_sim,08076180_obs,08076700_sim,08076700_obs
2017-08-25 12:00:00,0.0,0.20161561600000003,0.0,0.5097024,0.0,1.02506816,0.0,0.41908864,0.0,
2017-08-25 12:15:00,3.7682491039479222,0.20161561600000003,0.0,0.5097024,0.0003688858863754718,1.02506816,0.005370488896573712,0.40493024,2.5305297239743605,
2017-08-25 12:30:00,5.56821459223932,0.20161561600000003,0.0,0.5097024,5.688109836175201e-05,1.02506816,2.082203708018684,0.39077184,0.6757788509836377,
2017-08-25 12:45:00,21.78006420219336,0.20161561600000003,0.0,0.5097024,0.006842104047147827,1.02506816,2.0773860052050734,0.38510848,0.23858369267364685,
2017-08-25 13:00:00,27.504176477768432,0.1911384,0.0,0.5097024,0.011076511923025677,1.02506816,0.2583548654755455,0.37661344,0.10090255910223812,
2017-08-25 13:15:00,37.71732737554376,0.1911384,2.5211293886883905,0.5097024,0.00787852506095547,1.0052464,3.2248756761281445,0.37095008,0.04673383074761461,
2017-08-25 13:30:00,43.42812924022323,0.20161561600000003,2.4075809976430897,0.495544,0.005661556295440157,1.02506816,3.924006966456527,0.39926688,0.04046055298683369,
2017-08-25 13:45:00,46.99251178223439,0.20161561600000003,1.9853607944869527,0.495544,0.004042932164179911,1.02506816,4.114280722309715,0.39077184,5.109542976544922,
2017-08-25 14:00:00,49.88059320966067,0.20161561600000003,1.6550935574157324,0.495544,0.04488677855569905,1.0052464,4.186119462586451,0.39077184,2.624460390806491,
2017-08-25 14:15:00,51.662728405404515,0.20161561600000003,1.4146187218752841,0.46156384,0.11836985225731311,1.04488992,4.194892459416405,0.4672272,0.8105409377301462,
2017-08-25 14:30:00,51.871698357814694,0.20161561600000003,1.292537244996045,0.495544,0.15948335390389518,1.08736512,4.166774525320715,0.51819744,0.41593714180609104,
2017-08-25 14:45:00,51.12489344999534,0.21209283199999998,1.249613736516822,0.495544,0.34865252063963625,1.10718688,4.090147196891503,0.5521775999999999,0.447065232229665,
2017-08-25 15:00:00,49.541672103548485,0.24635616,1.240181972300883,0.5351875199999999,1.3653578668182935,1.17231552,3.980749382543037,0.60031616,0.31039744179119283,
2017-08-25 15:15:00,47.23096427386635,0.283168,1.2340140343592734,0.58615776,1.927557013189168,1.17231552,3.848534073128805,0.65978144,0.25583260424577875,
2017-08-25 15:30:00,44.648970415700674,0.30582144,1.216500148593487,0.61447456,2.280444083520135,1.2176223999999998,3.712396829020771,0.6796032,0.29523752065721653,
2017-08-25 15:45:00,41.884764973783724,0.31997984,1.1834376158752562,0.60031616,2.5947664564148147,1.2402758399999998,3.5657913693253906,0.69092992,0.26613420338168364,
2017-08-25 16:00:00,38.96319073973202,0.31997984,1.137797568049626,0.6427913599999999,2.8481491929603022,1.30823616,3.4072954200624044,0.7475635199999999,0.21794929870787638,
2017-08-25 16:15:00,36.0363057601159,0.35679168,1.0817365554258256,0.6427913599999999,3.0452156481961854,1.42433504,3.2516411836433714,0.7362368,0.17247918683015995,
2017-08-25 16:30:00,33.13985950809335,0.3822768,1.019614655854629,0.6427913599999999,3.165119720316854,1.49795872,3.092650173578332,0.69092992,0.13950291401544282,
2017-08-25 16:45:00,30.45848165159202,0.39643520000000004,0.9519450355246863,0.6569497599999999,3.2920805983628556,1.57441408,2.9437256420085287,0.6796032,0.11987732516082392,
2017-08-25 17:00:00,27.894477569457575,0.41059359999999995,0.8842895749057679,0.6569497599999999,3.4170812453861426,1.628216,2.785390393113679,0.65978144,0.1099155699924945,
2017-08-25 17:15:00,25.57013805499148,0.39643520000000004,0.8180718240795333,0.68526656,3.464849784001416,1.6820179199999998,2.735471259279638,0.6484547199999999,0.101034727544108,
2017-08-25 17:30:00,23.43941866391361,0.3822768,0.7547969364426781,0.68526656,3.4077066437581505,1.70750304,3.485994505730201,0.6484547199999999,0.09113560873527045,
2017-08-25 17:45:00,21.544670985581877,0.37095008,0.6953069198449304,0.69942496,3.4179967405662293,1.76130496,4.875267745893752,0.6484547199999999,0.07749208900473582,
2017-08-25 18:00:00,20.050935193296606,0.35679168,0.6400879690242431,0.69942496,3.451940126452706,1.81510688,6.324991251929867,0.65978144,0.5041093827426143,
2017-08-25 18:15:00,18.366597144599417,0.34263328,0.5923004313191311,0.71641504,3.4927889340119473,1.8405919999999998,7.584914560402152,0.67110816,1.1286482135712712,
2017-08-25 18:30:00,16.76794460298981,0.33130656,0.5489708569180293,0.71641504,3.5553048313737365,1.8972256,9.021935672512823,0.67110816,1.1462026506718292,
2017-08-25 18:45:00,15.395816096225108,0.31997984,0.5090953615074096,0.71641504,3.6098618778535347,1.8972256,10.607972497107896,0.67110816,1.1307375923559508,
2017-08-25 19:00:00,14.12682700501802,0.37095008,0.4737340899626921,0.6569497599999999,3.653756309394795,2.0104928,12.036958181877187,0.72491008,1.0109885037591373,
2017-08-25 19:15:00,12.964018347214468,0.46156384,0.44186431241714563,0.69942496,3.6926790341777096,2.15774016,13.739388350276704,0.86649408,1.3363196784197635,
2017-08-25 19:30:00,11.937330067795411,0.43607872,0.4126147166329079,0.7617219199999999,3.7402975479707217,2.22003712,15.30065519466896,0.99958304,1.3553371510565762,
2017-08-25 19:45:00,11.006346407910296,0.42192032,0.3858440449307891,0.8551673599999999,3.805820915992192,2.2511856,16.556289389934697,1.02789984,1.3246740317083283,
2017-08-25 20:00:00,9.918390046721424,0.47572224,0.3613507800114845,0.9061376,3.8759045886118138,2.34463104,17.27147485096063,1.01374144,1.3339982313985768,
